make,mpg,weight,foreign
"AMC Concord",22,2930,"Domestic"
"AMC Pacer",17,3350,"Domestic"
"AMC Spirit",22,2640,"Domestic"
"Buick Century",20,3250,"Domestic"
"Buick Electra",15,4080,"Domestic"
"Buick LeSabre",18,3670,"Domestic"
"Buick Opel",26,2230,"Domestic"
"Buick Regal",20,3280,"Domestic"
"Buick Riviera",16,3880,"Domestic"
"Buick Skylark",19,3400,"Domestic"
"Cad. Deville",14,4330,"Domestic"
"Cad. Eldorado",14,3900,"Domestic"
"Cad. Seville",21,4290,"Domestic"
"Chev. Chevette",29,2110,"Domestic"
"Chev. Impala",16,3690,"Domestic"
"Chev. Malibu",22,3180,"Domestic"
"Chev. Monte Carlo",22,3220,"Domestic"
"Chev. Monza",24,2750,"Domestic"
"Chev. Nova",19,3430,"Domestic"
"Dodge Colt",30,2120,"Domestic"
"Dodge Diplomat",18,3600,"Domestic"
"Dodge Magnum",16,3600,"Domestic"
"Dodge St. Regis",17,3740,"Domestic"
"Ford Fiesta",28,1800,"Domestic"
"Ford Mustang",21,2650,"Domestic"
"Linc. Continental",12,4840,"Domestic"
"Linc. Mark V",12,4720,"Domestic"
"Linc. Versailles",14,3830,"Domestic"
"Merc. Bobcat",22,2580,"Domestic"
"Merc. Cougar",14,4060,"Domestic"
"Merc. Marquis",15,3720,"Domestic"
"Merc. Monarch",18,3370,"Domestic"
"Merc. XR-7",14,4130,"Domestic"
"Merc. Zephyr",20,2830,"Domestic"
"Olds 98",21,4060,"Domestic"
"Olds Cutl Supr",19,3310,"Domestic"
"Olds Cutlass",19,3300,"Domestic"
"Olds Delta 88",18,3690,"Domestic"
"Olds Omega",19,3370,"Domestic"
"Olds Starfire",24,2730,"Domestic"
"Olds Toronado",16,4030,"Domestic"
"Plym. Arrow",28,3260,"Domestic"
"Plym. Champ",34,1800,"Domestic"
"Plym. Horizon",25,2200,"Domestic"
"Plym. Sapporo",26,2520,"Domestic"
"Plym. Volare",18,3330,"Domestic"
"Pont. Catalina",18,3700,"Domestic"
"Pont. Firebird",18,3470,"Domestic"
"Pont. Grand Prix",19,3210,"Domestic"
"Pont. Le Mans",19,3200,"Domestic"
"Pont. Phoenix",19,3420,"Domestic"
"Pont. Sunbird",24,2690,"Domestic"
"Audi 5000",17,2830,"Foreign"
"Audi Fox",23,2070,"Foreign"
"BMW 320i",25,2650,"Foreign"
"Datsun 200",23,2370,"Foreign"
"Datsun 210",35,2020,"Foreign"
"Datsun 510",24,2280,"Foreign"
"Datsun 810",21,2750,"Foreign"
"Fiat Strada",21,2130,"Foreign"
"Honda Accord",25,2240,"Foreign"
"Honda Civic",28,1760,"Foreign"
"Mazda GLC",30,1980,"Foreign"
"Peugeot 604",14,3420,"Foreign"
"Renault Le Car",26,1830,"Foreign"
"Subaru",35,2050,"Foreign"
"Toyota Celica",18,2410,"Foreign"
"Toyota Corolla",31,2200,"Foreign"
"Toyota Corona",18,2670,"Foreign"
"VW Dasher",23,2160,"Foreign"
"VW Diesel",41,2040,"Foreign"
"VW Rabbit",25,1930,"Foreign"
"VW Scirocco",25,1990,"Foreign"
"Volvo 260",17,3170,"Foreign"
